Grandioso,0.9983
Responsable,0.9954
Caprichoso,0.9843
Tranquilo,0.9815
Estimado,0.9806
Terrible,0.9784
Gracioso,0.9764
Eficiente,0.9748
Secreto,0.9746
Ágil,0.9740
Estupendo,0.9690
Listo,0.9690
Cauto,0.9686
Conocido,0.9644
Inquebrantable,0.9640
Surrealista,0.9589
Aterrador,0.9588
Adecuado,0.9537
Optimista,0.9524
Memorable,0.9506
Tenue,0.9482
Pintoresco,0.9471
Decente,0.9432
Unido,0.9422
Excelente,0.9421
Ingenioso,0.9417
Juicioso,0.9399
Utilizable,0.9369
Exigente,0.9346
Antipático,0.9340
Vulgar,0.9332
Dichoso,0.9308
Competente,0.9296
Determinado,0.9282
Generoso,0.9278
Barato,0.9231
Fabuloso,0.9227
Hermoso,0.9226
Gruñón,0.9219
Sincero,0.9211
Polivalente,0.9130
Especial,0.9050
Aceptable,0.9036
Pesimista,0.9008
Incompleto,0.8999
Deslumbrante,0.8993
Sombrío,0.8985
Pragmático,0.8976
Específico,0.8970
Joven,0.8965
Preparado,0.8956
Extraordinario,0.8955
Estándar,0.8953
Hablador,0.8866
Ideal,0.8771
Insensible,0.8735
Silencioso,0.8731
Humilde,0.8724
Ensordecedor,0.8693
Ocupado,0.8686
Duradero,0.8680
Estable,0.8636
Mezquino,0.8633
Quebrado,0.8615
Transparente,0.8609
Caro,0.8597
Sensible,0.8582
Absoluto,0.8572
Confiable,0.8546
Incauto,0.8534
Frío,0.8529
Feo,0.8524
Meticuloso,0.8489
Deficiente,0.8481
Inspirador,0.8480
Digno,0.8446
Vanidoso,0.8404
Pegajoso,0.8400
Inusual,0.8363
Prudente,0.8355
Sólido,0.8343
Cuadrado,0.8333
Franco,0.8287
Triste,0.8263
Ardiente,0.8256
Indiscreto,0.8229
Violento,0.8229
Azaroso,0.8221
Favorito,0.8160
Infantil,0.8123
Cálido,0.8118
Estresante,0.8117
Brillante,0.8110
Sorprendente,0.8096
Auténtico,0.8086
Automático,0.8065
Gratificante,0.8034
Aventurero,0.8033
Fácil,0.8027
Estudioso,0.8005
Admirable,0.8003
Curioso,0.7988
Elástico,0.7985
Valiente,0.7966
Obvio,0.7945
Favorable,0.7935
Hastiado,0.7926
