Listo,0.9958
Terrible,0.9954
Caprichoso,0.9953
Responsable,0.9920
Grandioso,0.9913
Estimado,0.9891
Tranquilo,0.9880
Ágil,0.9876
Gracioso,0.9871
Conocido,0.9859
Cauto,0.9851
Estupendo,0.9799
Surrealista,0.9790
Tenue,0.9754
Adecuado,0.9747
Unido,0.9741
Secreto,0.9718
Decente,0.9710
Ingenioso,0.9696
Pintoresco,0.9695
Inquebrantable,0.9667
Eficiente,0.9667
Aterrador,0.9662
Utilizable,0.9635
Excelente,0.9630
Optimista,0.9621
Antipático,0.9609
Determinado,0.9601
Juicioso,0.9585
Exigente,0.9522
Vulgar,0.9480
Barato,0.9478
Memorable,0.9453
Gruñón,0.9446
Competente,0.9442
Hermoso,0.9438
Pesimista,0.9349
Generoso,0.9319
Sincero,0.9313
Dichoso,0.9310
Fabuloso,0.9284
Sombrío,0.9278
Incompleto,0.9255
Extraordinario,0.9250
Especial,0.9220
Deslumbrante,0.9190
Específico,0.9179
Estándar,0.9176
Joven,0.9152
Polivalente,0.9149
Pragmático,0.9119
Hablador,0.9107
Humilde,0.9100
Aceptable,0.9070
Sensible,0.8958
Preparado,0.8943
Ideal,0.8917
Estable,0.8904
Ocupado,0.8871
Confiable,0.8860
Duradero,0.8844
Absoluto,0.8838
Ensordecedor,0.8834
Mezquino,0.8816
Silencioso,0.8800
Quebrado,0.8795
Frío,0.8780
Transparente,0.8773
Feo,0.8764
Pegajoso,0.8758
Caro,0.8705
Insensible,0.8700
Inspirador,0.8667
Incauto,0.8664
Cuadrado,0.8651
Digno,0.8648
Inusual,0.8623
Franco,0.8589
Deficiente,0.8536
Azaroso,0.8533
Meticuloso,0.8517
Sólido,0.8474
Triste,0.8469
Valiente,0.8425
Automático,0.8385
Violento,0.8385
Auténtico,0.8361
Vanidoso,0.8353
Brillante,0.8351
Indiscreto,0.8346
Favorito,0.8305
Estresante,0.8275
Ardiente,0.8260
Sorprendente,0.8243
Prudente,0.8222
Favorable,0.8184
Estudioso,0.8180
Entrometido,0.8171
Infantil,0.8171
Curioso,0.8168
Elástico,0.8158
Fácil,0.8157
Hastiado,0.8150
Colorido,0.8125
Aventurero,0.8123
Gratificante,0.8100
Refinado,0.8096
Admirable,0.8085
Cálido,0.8075
Decisivo,0.8035
Obvio,0.7998
Lujoso,0.7947
Loco,0.7892
Fantástico,0.7887
Colosal,0.7886
Adepto,0.7865
Beneficioso,0.7847
Horrible,0.7803
Indómito,0.7797
Histriónico,0.7796
Creativo,0.7774
Tarde,0.7762
Caritativo,0.7721
Incómodo,0.7705
Apropiado,0.7681
Persistente,0.7629
Acertado,0.7592
Ocioso,0.7536
Justo,0.7499
Único,0.7499
Redondo,0.7495
Invencible,0.7461
Discreto,0.7449
Orientado,0.7449
Monótono,0.7447
Alegre,0.7412
Incrédulo,0.7386
Flaco,0.7382
Peligroso,0.7364
Decidido,0.7345
Farsante,0.7295
Dedicado,0.7268
Perseverante,0.7263
Salvaje,0.7221
Detallado,0.7213
Tímido,0.7194
Seguro,0.7192
Fugaz,0.7189
Largo,0.7180
Valioso,0.7148
Modesto,0.7144
Sereno,0.7129
Desordenado,0.7093
Exótico,0.7078
Directo,0.7056
Moderno,0.7049
Posible,0.7040
Dispuesto,0.7037
Trivial,0.7033
Irresponsable,0.7018
Arrugado,0.6998
Honesto,0.6994
Esperanzado,0.6993
Agradable,0.6990
Orgulloso,0.6972
Robusto,0.6967
Sustancial,0.6960
Virtuoso,0.6948
Organizado,0.6903
Tacaño,0.6900
Nuevo,0.6878
Codicioso,0.6842
Abstracto,0.6829
